doc_id,doc_type,title,filename,pages,chunks,total_words,section_ref,local_path
act_sec1001,act,IRC Section 1001 - Gain or Loss on Disposition,act_sec1001.pdf,3,6,3196,IRC §1001,data\raw\acts\act_sec1001.pdf
act_sec101,act,IRC Section 101 - Life Insurance Exclusions,act_sec101.pdf,8,19,9034,IRC §101,data\raw\acts\act_sec101.pdf
act_sec102,act,IRC Section 102 - Gifts and Inheritances Exclusion,act_sec102.pdf,2,5,2483,IRC §102,data\raw\acts\act_sec102.pdf
act_sec1031,act,IRC Section 1031 - Like-Kind Exchanges,act_sec1031.pdf,4,10,4977,IRC §1031,data\raw\acts\act_sec1031.pdf
act_sec121,act,IRC Section 121 - Home Sale Exclusion,act_sec121.pdf,8,21,9828,IRC §121,data\raw\acts\act_sec121.pdf
act_sec1221,act,IRC Section 1221 - Capital Asset Defined,act_sec1221.pdf,4,4,294,IRC §1221,data\raw\acts\act_sec1221.pdf
act_sec132,act,IRC Section 132 - Fringe Benefits,act_sec132.pdf,9,22,10215,IRC §132,data\raw\acts\act_sec132.pdf
act_sec151,act,IRC Section 151 - Personal Exemptions,act_sec151.pdf,4,10,4799,IRC §151,data\raw\acts\act_sec151.pdf
act_sec162,act,IRC Section 162 - Trade or Business Expenses,act_sec162.pdf,17,42,20589,IRC §162,data\raw\acts\act_sec162.pdf
act_sec163,act,IRC Section 163 - Interest Deduction,act_sec163.pdf,18,45,20928,IRC §163,data\raw\acts\act_sec163.pdf
act_sec165,act,IRC Section 165 - Losses,act_sec165.pdf,10,27,12989,IRC §165,data\raw\acts\act_sec165.pdf
act_sec167,act,IRC Section 167 - Depreciation,act_sec167.pdf,10,25,12137,IRC §167,data\raw\acts\act_sec167.pdf
act_sec170,act,IRC Section 170 - Charitable Contributions,act_sec170.pdf,33,82,38085,IRC §170,data\raw\acts\act_sec170.pdf
act_sec183,act,IRC Section 183 - Hobby Loss Rules,act_sec183.pdf,2,5,2373,IRC §183,data\raw\acts\act_sec183.pdf
act_sec199A,act,IRC Section 199A - Qualified Business Income Deduction,act_sec199A.pdf,7,14,6569,IRC §199A,data\raw\acts\act_sec199A.pdf
act_sec212,act,IRC Section 212 - Expenses for Income Production,act_sec212.pdf,4,4,294,IRC §212,data\raw\acts\act_sec212.pdf
act_sec263,act,IRC Section 263 - Capital Expenditures,act_sec263.pdf,5,13,6094,IRC §263,data\raw\acts\act_sec263.pdf
act_sec265,act,IRC Section 265 - Expenses for Tax-Exempt Income,act_sec265.pdf,6,13,6572,IRC §265,data\raw\acts\act_sec265.pdf
act_sec351,act,IRC Section 351 - Transfer to Controlled Corporation,act_sec351.pdf,4,4,294,IRC §351,data\raw\acts\act_sec351.pdf
act_sec368,act,IRC Section 368 - Corporate Reorganizations,act_sec368.pdf,4,4,294,IRC §368,data\raw\acts\act_sec368.pdf
act_sec401,act,IRC Section 401 - Qualified Pension Plans,act_sec401.pdf,4,4,294,IRC §401,data\raw\acts\act_sec401.pdf
act_sec408,act,IRC Section 408 - Individual Retirement Accounts,act_sec408.pdf,4,4,294,IRC §408,data\raw\acts\act_sec408.pdf
act_sec501,act,IRC Section 501 - Tax-Exempt Organizations,act_sec501.pdf,24,57,27606,IRC §501,data\raw\acts\act_sec501.pdf
act_sec61,act,IRC Section 61 - Gross Income Defined,act_sec61.pdf,3,8,3791,IRC §61,data\raw\acts\act_sec61.pdf
act_sec62,act,IRC Section 62 - Adjusted Gross Income Defined,act_sec62.pdf,9,24,11349,IRC §62,data\raw\acts\act_sec62.pdf
act_sec63,act,IRC Section 63 - Taxable Income Defined,act_sec63.pdf,5,13,6184,IRC §63,data\raw\acts\act_sec63.pdf
act_sec6662,act,IRC Section 6662 - Accuracy-Related Penalty,act_sec6662.pdf,6,14,6685,IRC §6662,data\raw\acts\act_sec6662.pdf
act_sec67,act,IRC Section 67 - Miscellaneous Itemized Deductions,act_sec67.pdf,2,5,2211,IRC §67,data\raw\acts\act_sec67.pdf
act_sec68,act,IRC Section 68 - Overall Limitation on Itemized Deductions,act_sec68.pdf,3,7,3451,IRC §68,data\raw\acts\act_sec68.pdf
act_sec7201,act,IRC Section 7201 - Tax Evasion,act_sec7201.pdf,1,2,1111,IRC §7201,data\raw\acts\act_sec7201.pdf
failed,judgment,Failed,failed.txt,1,1,61,,data\raw\judgments\failed.txt
judgment_01_commissioner_v_glenshaw_glass,judgment,Commissioner v. Glenshaw Glass Co. (1955),judgment_01_commissioner_v_glenshaw_glass.txt,5,5,1954,,data\raw\judgments\judgment_01_commissioner_v_glenshaw_glass.txt
judgment_02_old_colony_trust_co_v_commissioner,judgment,Old Colony Trust Co. v. Commissioner (1929),judgment_02_old_colony_trust_co_v_commissioner.txt,8,8,3831,,data\raw\judgments\judgment_02_old_colony_trust_co_v_commissioner.txt
judgment_03_cesarini_v_united_states,judgment,Cesarini v. United States (1969),judgment_03_cesarini_v_united_states.txt,7,7,3248,,data\raw\judgments\judgment_03_cesarini_v_united_states.txt
judgment_04_welch_v_helvering,judgment,Welch v. Helvering (1933),judgment_04_welch_v_helvering.txt,4,4,1603,,data\raw\judgments\judgment_04_welch_v_helvering.txt
judgment_05_commissioner_v_tellier,judgment,Commissioner v. Tellier (1966),judgment_05_commissioner_v_tellier.txt,6,6,2656,,data\raw\judgments\judgment_05_commissioner_v_tellier.txt
judgment_06_indopco_v_commissioner,judgment,INDOPCO Inc. v. Commissioner (1992),judgment_06_indopco_v_commissioner.txt,10,10,4359,,data\raw\judgments\judgment_06_indopco_v_commissioner.txt
judgment_07_bob_jones_university_v_united_states,judgment,Bob Jones University v. United States (1983),judgment_07_bob_jones_university_v_united_states.txt,22,22,10060,,data\raw\judgments\judgment_07_bob_jones_university_v_united_states.txt
judgment_08_gregory_v_helvering,judgment,Gregory v. Helvering (1935),judgment_08_gregory_v_helvering.txt,4,4,1909,,data\raw\judgments\judgment_08_gregory_v_helvering.txt
judgment_09_cottage_savings_association_v_commissioner,judgment,Cottage Savings Association v. Commissioner (1991),judgment_09_cottage_savings_association_v_commissioner.txt,11,11,5097,,data\raw\judgments\judgment_09_cottage_savings_association_v_commissioner.txt
judgment_10_starker_v_united_states,judgment,Starker v. United States (1979),judgment_10_starker_v_united_states.txt,6,6,2372,,data\raw\judgments\judgment_10_starker_v_united_states.txt
judgment_11_cheek_v_united_states,judgment,Cheek v. United States (1991),judgment_11_cheek_v_united_states.txt,14,14,7000,,data\raw\judgments\judgment_11_cheek_v_united_states.txt
judgment_12_united_states_v_kirby_lumber,judgment,United States v. Kirby Lumber Co. (1931),judgment_12_united_states_v_kirby_lumber.txt,1,1,536,,data\raw\judgments\judgment_12_united_states_v_kirby_lumber.txt
judgment_13_faridessultaneh_v_commissioner,judgment,Farid-Es-Sultaneh v. Commissioner (1947),judgment_13_faridessultaneh_v_commissioner.txt,7,7,3286,,data\raw\judgments\judgment_13_faridessultaneh_v_commissioner.txt
judgment_14_commissioner_v_duberstein,judgment,Commissioner v. Duberstein (1960),judgment_14_commissioner_v_duberstein.txt,13,13,6597,,data\raw\judgments\judgment_14_commissioner_v_duberstein.txt
judgment_15_crane_v_commissioner,judgment,Crane v. Commissioner (1947),judgment_15_crane_v_commissioner.txt,11,11,5328,,data\raw\judgments\judgment_15_crane_v_commissioner.txt
