query_id,query,doc_type,difficulty,ground_truth_answer,source_doc,page_no,section_ref,expected_citations,is_answerable,doc_title,key_terms,confidence,chunk_id,text_used
Q001,What was assumed by ITW as part of the purchase agreement for the DeVilbiss assets?,judgment,factual,"The Lemelson lawsuit, which was a contingent liability",judgment_06_indopco_v_commissioner,6,,"judgment_06_indopco_v_commissioner, p.6",yes,INDOPCO Inc. v. Commissioner (1992),"contingent liability, purchase agreement",high,judgment_06_indopco_v_commissioner_p6_c6,"part of the purchase price for the business. Id. (“Assumption of the obligation to make pension payments to Mrs. Grunwald was in theory and in fact, part of the cost of acquiring the assets of the wood veneer business from the taxpayer’s predecessor.”) Because the purchase of the wood veneer busines..."
Q002,"How did the court distinguish between a taxable event and a non-taxable event in the context of distributions from a company, and what implications does this distinction have for the taxation of punitive damages?",judgment,interpretive,"The court distinguished between a taxable event and a non-taxable event by considering whether the distribution constituted a 'realized gain' to the shareholder or merely changed the form of their capital investment. In the case of punitive damages, the court held that the fact that the payments were extracted as punishment for unlawful conduct does not detract from their character as taxable income, as the taxpayers have complete dominion over the payments and they constitute an undeniable accession to wealth.",judgment_28_helvering_v_bruun,3,,"judgment_28_helvering_v_bruun, p.3",yes,Helvering v. Bruun (1940),"realized gain, taxable event, punitive damages",high,judgment_28_helvering_v_bruun_p3_c3,"nd constituted a realized gain to the shareholder, or changed “only the form, not the essence,” of *431 his capital investment. Id., at 210 . It was held that the taxpayer had “received nothing out of the company’s assets for his separate use and benefit.” Id., at 211 . The distribution, therefore, ..."
Q003,What substitution was made by Pub. L. 92–336 in Subsec. (h)(1) of IRC §165?,act,factual,Pub. L. 92–336 substituted provisions relating to losses attributable to a disaster which occurs during the period after the close of the taxable year and on or before the last day of the 6th calendar month beginning after the close of the taxable year.,act_sec165,6,IRC §165,"act_sec165, p.6",yes,IRC Section 165 - Losses,"Pub. L. 92–336, Subsec. (h)(1), IRC §165",high,act_sec165_p6_c14,Act of 1974’’ for ‘‘Disaster Relief Act of 1970’’. 1972—Subsec. (h). Pub. L. 92–418 struck out par. (1) provisions relating to losses attributable to a disaster occurring during period following close of taxable year and on or before time prescribed by law for filing the income tax return for the ta...
Q004,What section is referenced in the phrase 'The deduction allowed by section 220' in IRC §62?,act,factual,Section 220,act_sec62,5,IRC §62,"act_sec62, p.5",yes,IRC Section 62 - Adjusted Gross Income Defined,"IRC §62, section 220",high,act_sec62_p5_c13,"follows: ‘‘The deduction allowed by section 220.’’ 1988—Subsec. (a)(2)(A). Pub. L. 100–647, § 1001(b)(3)(A), inserted at end ‘‘The fact that the reimbursement may be provided by a third party shall not be determinative of whether or not the preceding sentence applies.’’ Subsec. (a)(13). Pub. L. 100–..."
Q005,What is the deadline for filing an amended tax return for IRA contributions made in 2026?,tax,unanswerable,This information is not available in the provided legal text.,tax_pub590a,32,,"tax_pub590a, p.32",no,IRS Publication 590A - IRA Contributions,"IRA contributions, amended tax return",unanswerable,tax_pub590a_p32_c60,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3. 4. Subtract line 3 from line 2 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4. 5. Divide line 4 by line 3. Enter the result as a decimal (rounded to a...
Q006,What is the maximum fine for an individual found guilty of a misdemeanor under IRC §7201?,act,factual,"$25,000",act_sec7201,1,IRC §7201,"act_sec7201, p.1",yes,IRC Section 7201 - Tax Evasion,"misdemeanor, fine",high,act_sec7201_p1_c2,"this title or by regulations made under authority thereof to make a return, keep any records, or supply any information, who willfully fails to pay such estimated tax or tax, make such re- turn, keep such records, or supply such informa- tion, at the time or times required by law or regulations, sha..."
Q007,What is the maximum amount that can be excluded from an employee's gross income for the adoption of a child with special needs for taxable years beginning in 2022?,pov,factual,"$14,890",pov_jct_05_corps,15,,"pov_jct_05_corps, p.15",yes,Jct Report: 05 Corps,"adoption assistance program, qualified adoption expenses",high,pov_jct_05_corps_p15_c15,- 15 - amount for transportation in a commuter highway vehicle and any transit pass is $280. The monthly limitation under § 132(f)(2)(B) regarding the fringe benefit exclusion amount for qualified parking is $280. .18 Income from United States Savings Bonds for Taxpayers Who Pay Qualified Higher Edu...
Q008,How does the context of IRC Section 408 imply the legislative intent behind the creation of Individual Retirement Accounts?,act,interpretive,"The legislative intent can be inferred as promoting retirement savings through tax benefits, given the provision's focus on individual accounts.",act_sec408,3,IRC §408,"act_sec408, p.3",yes,IRC Section 408 - Individual Retirement Accounts,"legislative intent, Individual Retirement Accounts, tax benefits",medium,act_sec408_p3_c3,Browse • A to Z • Category • Date • Committee • Author About • About • Policies • Authentication • Digital Preservation • History • Agency Submission • U.S. Government Information • FDsys Retirement Developers • Developer Hub • API • Bulk Data Repository • Link Service • Feeds • Sitemaps • System De...
Q009,"How does the calculation of daily Original Issue Discount (OID) change for subsequent accrual periods, and what specific values are used in the formula instead of the initial issue price?",pov,interpretive,The daily OID for subsequent accrual periods is figured the same way except the adjusted issue price at the beginning of each period is used in the formula instead of the issue price. The adjusted issue price is calculated as the issue price plus the OID previously includible in income.,pov_jct_02_expenditures,13,,"pov_jct_02_expenditures, p.13",yes,Jct Report: 02 Expenditures,"Original Issue Discount (OID), adjusted issue price, accrual period",high,pov_jct_02_expenditures_p13_c25,"year qsi = qualified stated interest p = number of days in accrual period The daily OID for subsequent accrual periods is figured the same way except the adjusted issue price at the be- ginning of each period is used in the formula instead of the issue price. Example 5. On January 1 of Year 1, you b..."
Q010,How do the safe harbor rules under § 1.148-5(e)(2)(iii)(B)(1) of the Income Tax Regulations determine the reasonableness of a broker's commission for the acquisition of a guaranteed investment contract or investments purchased for a yield restricted defeasance escrow?,pov,interpretive,"The rules consider a broker's commission or similar fee reasonable if the amount of the fee does not exceed the lesser of $49,000 or 0.2 percent of the computational base, and the issuer does not treat more than $138,000 in brokers' commissions or similar fees as qualified administrative costs for all guaranteed investment contracts and investments for yield restricted defeasance escrows.",pov_tf_05_1031,14,,"pov_tf_05_1031, p.14",yes,Tax Foundation: 05 1031,"safe harbor rules, broker's commission, guaranteed investment contract, yield restricted defeasance escrow",high,pov_tf_05_1031_p14_c14,"14 items relating to the adoption credit.) .20 Private Activity Bonds Volume Cap. For calendar year 2024, the amounts used under § 146(d) to calculate the State ceiling for the volume cap for private activity bonds is the greater of (1) $125 multiplied by the State population, or (2) $378,230,000. ...."
